	wavfile	start_seconds	start_frames	end_seconds	end_frames	identifier	inferred_text	motherfile
0	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/001_20170424.wav	0.0	0	26.45	1166445	000_20170424	we just start good after on colleagues first point his adoption of the agenda if there are no objections to the agenda it is adopted i would like to	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
1	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/002_20170424.wav	26.45002267573696	1166446	51.70002267573696	2279971	001_20170424	pay a tension that this after not will not be able danish croshianangardiq translation and the voting time has been set for tomorrow at eleven forty peace hair electronic voting cards with you	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
2	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/003_20170424.wav	51.700045351473925	2279972	77.35004535147392	3411137	002_20170424	an approval of minutes of meetings of thirty march two thousand and seventeen twenty six september two thousand and sixteen and eleven twelve july two thousand and sixteen if there are no objection to the minutes they are proved welcome this item	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
3	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/004_20170424.wav	77.35006802721088	3411138	104.70006802721089	4617273	003_20170424	has been put on the agenda in the framework of libys work on the external dimension of asylum and migration policies it refers to the malta declaration of the beginning of february two thousand and seventeen in which the council stated that it will step up councils work with libya as the main country of the parture as well as with its north african and sub saharian neighbourhood	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
4	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/005_20170424.wav	104.70009070294785	4617274	133.05009070294784	5867509	004_20170424	to reduce the arrivals of migrants and persons and persons seeking international protection we are the central mediterranean road more than one hundred and eighty zero arrivals most of them in italy were counted in two thousand and sixteen and a record number of persons drowned in the mediterranean when attempting the dangerous journal also at the beginning of this year	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
5	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/006_20170424.wav	133.0501133786848	5867510	155.70011337868482	6866375	005_20170424	as a consequence the eu turkey statement which lead to a significant reduction of irregular arrivals in the eastern mediterranean was regularly in the ar as as a possible blueprint for a similar arrangement with the government in libya following the multa declaration that would mean to	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
6	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/007_20170424.wav	155.70013605442176	6866376	176.65013605442178	7790271	006_20170424	stabilise libya as a priority for the union in particular the union would contribute to capacity building of the authorities to require control over the land and sea borders and to combat transit and smuggling activities while the malta declaration least	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
7	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/008_20170424.wav	176.65015873015872	7790272	201.40015873015872	8881747	007_20170424	several concrete measures the meeting today will focus on two of them which are supporting where possible the development of local communities in libya especially in coastal areas and libyan land borders on the migratory roads to improve the socio economic situation enhance the resilience as host communities	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
8	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/009_20170424.wav	201.4001814058957	8881748	220.4501814058957	9721853	008_20170424	and seeking to ensure adequate reception capacities and conditions in libya for migrants together with the un sr and iom this item far als under the competence of the afet committee	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
9	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/010_20170424.wav	220.45020408163265	9721854	242.90020408163267	10711899	009_20170424	colleague from alf at have been invited to participate in this meeting i would like to highlight that it is an integral part of the libya work on asylum migration policies last week several libya members visited italy to experience on the ground the developments in the union with regard to the central mediterranean road	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
10	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/011_20170424.wav	242.9002267573696	10711900	265.7502267573696	11719585	010_20170424	we have already meetings with the director of the european burden and cost guard regarding the support in the fight against smoogling and trafficking in human being beings along the road so that it makes perfect sense for this committee to look at the situation in libya with our colleagues from afet	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
11	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/012_20170424.wav	265.7502494331066	11719586	293.80024943310656	12956591	011_20170424	firstly we will hear a presentation but by maderssonsofronterms and on the situation of detention comes in libya which was requested by the coordinators and then to interventions by the commission and the european external action service i am honour to welcome anamarin lose programme andadgerforlibya	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
12	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/pipeLine/segmentation_wavfiles/20170424/013_20170424.wav	293.80027210884356	12956592	311.55027210884356	13739367	012_20170424	and ms inmabaskas representative to the eu of msv maslov i give you flow to present the report on the situation in the tension centre in libya for ten minutes rlongstyou	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/wav_files/zipfiles/20170424.wav
