human	humanLabel	representedParty	representedPartyLabel	representedGroup	representedGroupLabel	electedInDistrict	electedInDistrictLabel	startDate	endDate	parliamentaryTerm	parliamentaryTermLabel
http://www.wikidata.org/entity/Q2105	Jacques Chirac	http://www.wikidata.org/entity/Q1052584	Rally for the Republic	http://www.wikidata.org/entity/Q5413043	European Progressive Democrats	http://www.wikidata.org/entity/Q5478259	France	1979-07-17T00:00:00Z	1980-04-28T00:00:00Z	http://www.wikidata.org/entity/Q17315702	First European Parliament
http://www.wikidata.org/entity/Q11735	Michael Spindelegger	http://www.wikidata.org/entity/Q186867	Austrian People's Party	http://www.wikidata.org/entity/Q635616	European People's Party group	http://www.wikidata.org/entity/Q4825411	Austria	1995-01-01T00:00:00Z	1996-10-29T00:00:00Z	http://www.wikidata.org/entity/Q17315706	Fourth European Parliament
http://www.wikidata.org/entity/Q27182	Rachida Dati	http://www.wikidata.org/entity/Q173152	Union for a Popular Movement	http://www.wikidata.org/entity/Q635616	European People's Party group	http://www.wikidata.org/entity/Q556691	Île-de-France	2014-07-01T00:00:00Z		http://www.wikidata.org/entity/Q17315694	Eighth European Parliament
http://www.wikidata.org/entity/Q27182	Rachida Dati	http://www.wikidata.org/entity/Q173152	Union for a Popular Movement	http://www.wikidata.org/entity/Q635616	European People's Party group	http://www.wikidata.org/entity/Q556691	Île-de-France	2009-07-14T00:00:00Z	2014-06-30T00:00:00Z	http://www.wikidata.org/entity/Q4644021	Seventh European Parliament
http://www.wikidata.org/entity/Q44507	Edmund Stoiber										
http://www.wikidata.org/entity/Q55924	Józef Oleksy										
http://www.wikidata.org/entity/Q57640	Andrus Ansip	http://www.wikidata.org/entity/Q738947	Estonian Reform Party	http://www.wikidata.org/entity/Q839097	Group of the Alliance of Liberals and Democrats for Europe	http://www.wikidata.org/entity/Q5401432	Estonia	2014-07-01T00:00:00Z	2014-10-31T00:00:00Z	http://www.wikidata.org/entity/Q17315694	Eighth European Parliament
http://www.wikidata.org/entity/Q57806	Antonis Samaras	http://www.wikidata.org/entity/Q223153	New Democracy	http://www.wikidata.org/entity/Q635616	European People's Party group	http://www.wikidata.org/entity/Q17077105	Greece	2004-07-20T00:00:00Z	2007-09-25T00:00:00Z	http://www.wikidata.org/entity/Q4642661	Sixth European Parliament
http://www.wikidata.org/entity/Q61250	Martin Bangemann							1973-01-01T00:00:00Z	1984-01-01T00:00:00Z		
http://www.wikidata.org/entity/Q61250	Martin Bangemann	http://www.wikidata.org/entity/Q13124	Free Democratic Party	http://www.wikidata.org/entity/Q1671234	European Liberal Democrat and Reform Party Group	http://www.wikidata.org/entity/Q1350565	Germany	1979-07-17T00:00:00Z	1984-06-27T00:00:00Z	http://www.wikidata.org/entity/Q17315702	First European Parliament
