human	humanLabel	representedPartyLabel	representedGroupLabel	electedInDistrictLabel	country	startDate	endDate	parliamentaryTermLabel
http://www.wikidata.org/entity/Q2105	Jacques Chirac	Rally for the Republic	European Progressive Democrats	France		1979-07-17T00:00:00Z	1980-04-28T00:00:00Z	First European Parliament
http://www.wikidata.org/entity/Q11735	Michael Spindelegger	Austrian People's Party	European People's Party group	Austria		1995-01-01T00:00:00Z	1996-10-29T00:00:00Z	Fourth European Parliament
http://www.wikidata.org/entity/Q27182	Rachida Dati	Union for a Popular Movement	European People's Party group	Île-de-France		2014-07-01T00:00:00Z		Eighth European Parliament
http://www.wikidata.org/entity/Q27182	Rachida Dati	Union for a Popular Movement	European People's Party group	Île-de-France		2009-07-14T00:00:00Z	2014-06-30T00:00:00Z	Seventh European Parliament
http://www.wikidata.org/entity/Q44507	Edmund Stoiber							
http://www.wikidata.org/entity/Q55924	Józef Oleksy							
http://www.wikidata.org/entity/Q57640	Andrus Ansip	Estonian Reform Party	Group of the Alliance of Liberals and Democrats for Europe	Estonia		2014-07-01T00:00:00Z	2014-10-31T00:00:00Z	Eighth European Parliament
http://www.wikidata.org/entity/Q57806	Antonis Samaras	New Democracy	European People's Party group	Greece		2004-07-20T00:00:00Z	2007-09-25T00:00:00Z	Sixth European Parliament
http://www.wikidata.org/entity/Q61250	Martin Bangemann					1973-01-01T00:00:00Z	1984-01-01T00:00:00Z	
http://www.wikidata.org/entity/Q61250	Martin Bangemann	Free Democratic Party	European Liberal Democrat and Reform Party Group	Germany		1979-07-17T00:00:00Z	1984-06-27T00:00:00Z	First European Parliament
http://www.wikidata.org/entity/Q62420	Klaus Hänsch	Social Democratic Party of Germany	Progressive Alliance of Socialists and Democrats	Germany		1989-07-25T00:00:00Z	1994-07-18T00:00:00Z	Third European Parliament
http://www.wikidata.org/entity/Q62420	Klaus Hänsch	Social Democratic Party of Germany	Progressive Alliance of Socialists and Democrats	Germany		1979-07-17T00:00:00Z	1984-07-23T00:00:00Z	First European Parliament
http://www.wikidata.org/entity/Q62420	Klaus Hänsch	Social Democratic Party of Germany	Progressive Alliance of Socialists and Democrats	Germany		1984-07-24T00:00:00Z	1989-07-24T00:00:00Z	Second European Parliament
http://www.wikidata.org/entity/Q62420	Klaus Hänsch	Social Democratic Party of Germany	Progressive Alliance of Socialists and Democrats	Germany		1999-07-20T00:00:00Z	2004-07-19T00:00:00Z	Fifth European Parliament
http://www.wikidata.org/entity/Q62420	Klaus Hänsch					1979-01-01T00:00:00Z	2009-01-01T00:00:00Z	
http://www.wikidata.org/entity/Q62420	Klaus Hänsch	Social Democratic Party of Germany	Progressive Alliance of Socialists and Democrats	Germany		2004-07-20T00:00:00Z	2009-07-13T00:00:00Z	Sixth European Parliament
