?human	?humanLabel	?representedParty	?representedPartyLabel	?representedGroup	?representedGroupLabel	?electedInDistrict	?electedInDistrictLabel	?startDate	?endDate	?parliamentaryTerm	?parliamentaryTermLabel
<http://www.wikidata.org/entity/Q2105>	"Jacques Chirac"@en	<http://www.wikidata.org/entity/Q1052584>	"Rally for the Republic"@en	<http://www.wikidata.org/entity/Q5413043>	"European Progressive Democrats"@en	<http://www.wikidata.org/entity/Q5478259>	"France"@en	"1979-07-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1980-04-28T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315702>	"First European Parliament"@en
<http://www.wikidata.org/entity/Q11735>	"Michael Spindelegger"@en	<http://www.wikidata.org/entity/Q186867>	"Austrian People's Party"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q4825411>	"Austria"@en	"1995-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1996-10-29T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315706>	"Fourth European Parliament"@en
<http://www.wikidata.org/entity/Q27182>	"Rachida Dati"@en	<http://www.wikidata.org/entity/Q173152>	"Union for a Popular Movement"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q556691>	"Île-de-France"@en	"2014-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>		<http://www.wikidata.org/entity/Q17315694>	"Eighth European Parliament"@en
<http://www.wikidata.org/entity/Q27182>	"Rachida Dati"@en	<http://www.wikidata.org/entity/Q173152>	"Union for a Popular Movement"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q556691>	"Île-de-France"@en	"2009-07-14T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2014-06-30T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4644021>	"Seventh European Parliament"@en
<http://www.wikidata.org/entity/Q44507>	"Edmund Stoiber"@en										
<http://www.wikidata.org/entity/Q55924>	"Józef Oleksy"@en										
<http://www.wikidata.org/entity/Q57640>	"Andrus Ansip"@en	<http://www.wikidata.org/entity/Q738947>	"Estonian Reform Party"@en	<http://www.wikidata.org/entity/Q839097>	"Group of the Alliance of Liberals and Democrats for Europe"@en	<http://www.wikidata.org/entity/Q5401432>	"Estonia"@en	"2014-07-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2014-10-31T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315694>	"Eighth European Parliament"@en
<http://www.wikidata.org/entity/Q57806>	"Antonis Samaras"@en	<http://www.wikidata.org/entity/Q223153>	"New Democracy"@en	<http://www.wikidata.org/entity/Q635616>	"European People's Party group"@en	<http://www.wikidata.org/entity/Q17077105>	"Greece"@en	"2004-07-20T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"2007-09-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q4642661>	"Sixth European Parliament"@en
<http://www.wikidata.org/entity/Q61250>	"Martin Bangemann"@en							"1973-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1984-01-01T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>		
<http://www.wikidata.org/entity/Q61250>	"Martin Bangemann"@en	<http://www.wikidata.org/entity/Q13124>	"Free Democratic Party"@en	<http://www.wikidata.org/entity/Q1671234>	"European Liberal Democrat and Reform Party Group"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1979-07-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1984-06-27T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315702>	"First European Parliament"@en
<http://www.wikidata.org/entity/Q62420>	"Klaus Hänsch"@en	<http://www.wikidata.org/entity/Q49768>	"Social Democratic Party of Germany"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1989-07-25T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1994-07-18T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315704>	"Third European Parliament"@en
<http://www.wikidata.org/entity/Q62420>	"Klaus Hänsch"@en	<http://www.wikidata.org/entity/Q49768>	"Social Democratic Party of Germany"@en	<http://www.wikidata.org/entity/Q507343>	"Progressive Alliance of Socialists and Democrats"@en	<http://www.wikidata.org/entity/Q1350565>	"Germany"@en	"1979-07-17T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	"1984-07-23T00:00:00Z"^^<http://www.w3.org/2001/XMLSchema#dateTime>	<http://www.wikidata.org/entity/Q17315702>	"First European Parliament"@en
