	Sound_file	Length (s)	Transcription	nr_words	words per second	preprocessed_transcription	asr_output	asr_output_preprocessed	jiWER	pyWER	myWER
22	066_20140723.wav.pcm	21	 misses brjork, well on behalf of the GUE ngl group	11	0.523809523809524	 misses brjork well on behalf of the gue ngl group	DEAR MISSUS BEORG AND YET EH YOU EVRONGUI WELL ON BEHALF OF THE GOOY AND GIEL GROUP	dear missus beorg and yet eh you evrongui well on behalf of the gooy and giel group	1.1	1.1	1.0
41	002_20140915.wav.pcm	18	yes, I would like to raise a point regarding procedure	10	0.555555555555556	yes i would like to raise a point regarding procedure	OPER SCULAT THAT'S IT INKEMURGED YES I WOULD LIKE TO RESAPOINT REGARDING PROCEDURE	oper sculat that s it inkemurged yes i would like to resapoint regarding procedure	1.1	1.1	1.1
40	001_20140915.wav.pcm	27	so that’s good, okay colleagues, if there are no objections, the agenda is adopted, missus Spinelli do you have an objection? Please go ahead for one minute.	27	1.0	so that s good okay colleagues if there are no objections the agenda is adopted missus spinelli do you have an objection please go ahead for one minute 	HAVEN'T THEY SO THAT'S GOOD LOOK IT COLLEAGUES AND IF THERE ARE NO OBJECTIONS THE AGENDER IS ADOPTED ARE THERE ANY OBJECTIONESS NO BKE WHISPERED SU SPIN WITOS SPEDE MISSUR SPIDELLIGUE DO YOU HAVE AN OBJECTION PLEASE GO AHEAD FOR ONE MINUTE	haven t they so that s good look it colleagues and if there are no objections the agender is adopted are there any objectioness no bke whispered su spin witos spede missur spidelligue do you have an objection please go ahead for one minute	1.0740740740740742	1.074074074074074	1.0740740740740742
100	232_20141211.wav.pcm	29	now, with regard to ehm ehm ehm ehm, protection of private data, the agreement between the united states and the European Union is something which special attention has been paid to. Legal solution is what is being sought something that would be acceptable to the citizens of Europe protecting and guaranteeing their rights as well. Vis a vis US authorities.	60	2.06896551724138	now with regard to ehm ehm ehm ehm protection of private data the agreement between the united states and the european union is something which special attention has been paid to legal solution is what is being sought something that would be acceptable to the citizens of europe protecting and guaranteeing their rights as well vis a vis us authorities 			1.0	1.0	1.0
99	147_20141120.wav.pcm	17	It is important to recall that at the local level, the European delegated prosecutors will act on behalf of the EPPO. Despite the geographical distance to their place of work, they will belong to the same office and they need to share the same goal, and be integrated in the EPPO to the maximum extent. 	56	3.2941176470588194	it is important to recall that at the local level the european delegated prosecutors will act on behalf of the eppo despite the geographical distance to their place of work they will belong to the same office and they need to share the same goal and be integrated in the eppo to the maximum extent 			1.0	1.0	0.9821428571428571
98	146_20141120.wav.pcm	22	Therefore, the appointment procedure for them must foresee sufficient safeguards for independence. The appointment has to be undertaken by the European institutions, which should give both the council and the European Parliament a real opportunity to choose between different candidates. The assessment of the professional experience and knowledge of the candidates has to be performed by an independent panel.	59	2.68181818181818	therefore the appointment procedure for them must foresee sufficient safeguards for independence the appointment has to be undertaken by the european institutions which should give both the council and the european parliament a real opportunity to choose between different candidates the assessment of the professional experience and knowledge of the candidates has to be performed by an independent panel 			1.0	1.0	1.0
97	145_20141120.wav.pcm	16	It has to be immune from European and national influences, while remaining accountable for its work. At central level, the European Chief Prosecutor, the deputies and the European Prosecutors, will embody the EPPO’s European dimension and its independence	38	2.375	it has to be immune from european and national influences while remaining accountable for its work at central level the european chief prosecutor the deputies and the european prosecutors will embody the eppo s european dimension and its independence			1.0	1.0	1.0
96	144_20141120.wav.pcm	25	the commissions commitment to putting an independent European Public Prosecutors Office in place by two thousand sixteen has been confirmed in a mission letter from president Junker to commissioner … . Our response to the common challenge is to set up an independent and efficient European Public Prosecutors Office, which will bring real added value. And these are our red lines, firstly the EPPO must be independent.	67	2.68	the commissions commitment to putting an independent european public prosecutors office in place by two thousand sixteen has been confirmed in a mission letter from president junker to commissioner our response to the common challenge is to set up an independent and efficient european public prosecutors office which will bring real added value and these are our red lines firstly the eppo must be independent 			1.0	1.0	1.0
95	142_20141120.wav.pcm	21	update and that will be, okay, commission first. Thank you very much chairman, I would like to start by saying that obviously the Commission supports the efforts of the Italian Presidency to advance further with the negotiations on the EPPO regulation and of course we participate constructively in the debate	50	2.38095238095238	update and that will be okay commission first thank you very much chairman i would like to start by saying that obviously the commission supports the efforts of the italian presidency to advance further with the negotiations on the eppo regulation and of course we participate constructively in the debate			1.0	1.0	1.0
94	141_20141120.wav.pcm	28	and all the LIBE members on the state of the negotiations in the council, so I’m now going to first give the floor to the commission, and then to the presidency and then to the rapporteur and the shadows to give their states of play. First the commission representative who is now mister Heimand, mister Heimand is taking his palce, because of time I am just going straight to the commission for a brief	74	2.64285714285714	and all the libe members on the state of the negotiations in the council so i m now going to first give the floor to the commission and then to the presidency and then to the rapporteur and the shadows to give their states of play first the commission representative who is now mister heimand mister heimand is taking his palce because of time i am just going straight to the commission for a brief			1.0	1.0	1.0
