Sound_file	Length (s)	Transcription	nr_words	words per second
016_20140701.wav.pcm	22	I would like to propose on behalf of the snd group our colleague claude moraes as chair of this committee, miss zippal, claude moraes our colleague from snd is nominated, any other nominations	33	1.5
017_20140701.wav.pcm	27	no, I ask then the nominated candidate whether he agrees to being nominated, I accept, thank you claude, I state that the candidate fulfilled the necessary preconditions concerning the declaration of financial interests and is full member of this committee	40	1.48148148148148
018_20140701.wav.pcm	15	and as there is only one candidate, I would like to suggest to proceed with the election of the chair by acclamation, so I have to ask do you agree that it should be by acclamation and you don’t want (…), thank you	43	2.86666666666667
019_20140701.wav.pcm	23	so lets do it by acclamation, congratulation mister moraes, I declare the candidate elected by acclamation and ask the new chair to take seat	24	1.04347826086957
020_20140701.wav.pcm	28	thank you very much colleagues	5	0.178571428571429
021_20140701.wav.pcm	16		0	0
022_20140701.wav.pcm	20	first of all, thank you kinga and thank you colleagues for this huge privilege to be elected chair of the libe committee, before I proceed to the election of vice chairs, which I don’t want to delay because we have	40	2
023_20140701.wav.pcm	25	we have, I feel rather, sorry, I feel rather emotional to be become chair of the libe committee I would say to the existing members, some of you have paid me the honor of coming today, you know that this committee is one of the most important committees of the legislature, of the mandate, we deal with the, values issues of this house	63	2.52
024_20140701.wav.pcm	26	those existing members I’m looking at today have dealt with some of the most the important legislation this house will deal with, of course the economy is the most important thing, we all know that, but the values, because we are a parliament of values as well, is very much dealt with in the civil liberties justice and home affairs committee, data, asylum and immigration, anti discrimination work,	68	2.61538461538462
025_20140701.wav.pcm	21	anti terrorism, the whole panoply of legislation which is so important to us, so this is a huge privilege and honor, and I want to thank you for this honor today, I would like to proceed now to the election of the vice chairs, ehm first of all	48	2.28571428571429
008_20140714.wav.pcm	30	(…) yes, thank you very much, I am vicky maeijer, chair, I am a member of the freedom party, at the moment non attached, in the european parliament and I objected by email to the fact that I am not entitled apparently to put a question this evening I’d like that objection to be appropriately registered because I think as non attached members we have every right to have our voice heard	72	2.4
009_20140714.wav.pcm	17	okay, thank you for putting your objection so politely and effectively, that’s noted and we will move on to the first statement of mister slobodan, thank you mister chairman, I would also	32	1.88235294117647
010_20140714.wav.pcm	20	I would also, I would also like to greet the members of the JURI committee, LIBE committee and the FEMM committee, but first of all also madam Martine Reicherts the comissionary designate	32	1.6
011_20140714.wav.pcm	19	I would like to stress that the cooperation between our committees is very important because there are areas of common interest among us, there are also areas of responsibility of the commissional designate	33	1.73684210526316
012_20140714.wav.pcm	15	that overlap with the field of, of responsibility of the JURI committee, namely the field of civil justice including family law and private international law	25	1.66666666666667
013_20140714.wav.pcm	21	and these are the areas that the JURI members are going to focus in their questions, I am sure madam that after your election the cooperation with yourself is going to be as fruitfull as it was in the past with madam Reding when she was	46	2.19047619047619
014_20140714.wav.pcm	20	in office, being short of time let me just pass the floor to madam Garcia Perez from the FEMM committee thank you, thank you very much chairman, good afternoon to all colleagues, and of course	35	1.75
016_20140714.wav.pcm	28	it is one that is, that characterizes all European policy making and we believe that gender equality is absolutely fundamental as is fighting against gender based violence and several different dossiers such as maternity leave and the dossier on women on the the boards of (…) is, are all all extremely fundamental, the difficulties that women are fighting	58	2.07142857142857
017_20140714.wav.pcm	21	in these times of crisis, particularly matters relating to sexual and reproductive health and rights, these are key issues for women and we believe the various questions that the coordinators will reflect that over the course of this afternoon, I won’t take up any more time, lets move on to the speakers from the different committees that will have the floor, thank you	63	3
018_20140714.wav.pcm	17	thank you very much, Rachi, and madame Reichert, we now have the opening of the questions, you are going to be making an initial statement, for the LIBE committee obvious fundamental rights portfolio is extremely important and you are gonna make a 	43	2.52941176470588
064_20140723.wav.pcm	17	well, I mean, we are talking  twenty nine percent or one percent, that doesn’t really mean a lot to me, I’d really like to understand a little bit more about it, and I also would like to know what kind of effects these kind of controls have.	48	2.82352941176471
065_20140723.wav.pcm	25	for a few years I was also an employer, I was the director of a company and the quantity of the inspections doesn’t necessarily give you an idea of whether people are working legally or illegally, I’d like to know how these controls actually take place	46	1.84
