	filenr	motherfile	asr_output	manual_transcription	manually_checked	duration	nr_words	wavfile_location	transcription_location
0	16	20140701	i would like to propose on behalf of thies and group our collyclode morralds as chair of this committee won't missus zippl a clode morradus our ar colleague from a sunday was nominated any other a nominations	i would like to propose on behalf of thies and group our collyclode morralds as chair of this committee won't missus zippl a clode morradus our ar colleague from a sunday was nominated any other a nominations	0	22.25	37	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/016_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/016_20140701.wav.pcm.txt
1	17	20140701	no i ask than a a denominated candide wether he agrees to being nominated i exect thank you lod i state that e a the candi date fulfears the necessary preconditions concerning the declaration of financial interest and this full member of this commetee	no i ask than a a denominated candide wether he agrees to being nominated i exect thank you lod i state that e a the candi date fulfears the necessary preconditions concerning the declaration of financial interest and this full member of this commetee	0	26.65	44	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/017_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/017_20140701.wav.pcm.txt
2	18	20140701	and as there is only one candidate i would like to suggest to proceed ra the election of the chair by acclamation a so i have to ask it do you agree that it should be by acclamation and you don't want esigital thank you	and as there is only one candidate i would like to suggest to proceed ra the election of the chair by acclamation a so i have to ask it do you agree that it should be by acclamation and you don't want esigital thank you	0	15.65	45	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/018_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/018_20140701.wav.pcm.txt
3	19	20140701	so a lex doid by acclamation congratulation stermorise i declare unte candidate elacted by acclamation and asked athe new chair to take sid	so a lex doid by acclamation congratulation stermorise i declare unte candidate elacted by acclamation and asked athe new chair to take sid	0	23.75	23	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/019_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/019_20140701.wav.pcm.txt
4	20	20140701	thank you very much goex oo	thank you very much goex oo	0	28.55	6	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/020_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/020_20140701.wav.pcm.txt
5	21	20140701			0	16.15	1	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/021_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/021_20140701.wav.pcm.txt
6	22	20140701	he efirst bol thank you a kinger and thank you colleagues for this sen huge e privilege a to be elect to cheer of the liby committee hem before i a proceed to the election of the vice chairs which i don't want to delay because we have a	he efirst bol thank you a kinger and thank you colleagues for this sen huge e privilege a to be elect to cheer of the liby committee hem before i a proceed to the election of the vice chairs which i don't want to delay because we have a	0	19.85	49	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/022_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/022_20140701.wav.pcm.txt
7	23	20140701	and we have i feel rather sorry i feel rather emotional to be become a cheer of the leebat committee i would say to the existing member some of you ae a paid me the honour of coming e to day and you know that this committee is one of the most important committees of the legislature n of the mandates we deal with the er me deal with the vaues issues of this sam house	and we have i feel rather sorry i feel rather emotional to be become a cheer of the leebat committee i would say to the existing member some of you ae a paid me the honour of coming e to day and you know that this committee is one of the most important committees of the legislature n of the mandates we deal with the er me deal with the vaues issues of this sam house	0	24.85	76	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/023_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/023_20140701.wav.pcm.txt
8	24	20140701	and those existing members who ame looking at to day have dealt with some of the most important legislation at this house will deal with of course the economy m is the most important thing we all know that but the valueis because we am are parliament of values as well is very much dealt with in the civil libertyes justice and whome affairs committee at data asylum an immigration andto discrimination work	and those existing members who ame looking at to day have dealt with some of the most important legislation at this house will deal with of course the economy m is the most important thing we all know that but the valueis because we am are parliament of values as well is very much dealt with in the civil libertyes justice and whome affairs committee at data asylum an immigration andto discrimination work	0	26.45	73	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/024_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/024_20140701.wav.pcm.txt
9	25	20140701	antiterrorism the whole panoply of a legislation which is so important to us so this is a huge privilege on honour am and i am want to thank you for this a honor to day am i'd like to m proceed now to am the election of the vice chairs am first of all	antiterrorism the whole panoply of a legislation which is so important to us so this is a huge privilege on honour am and i am want to thank you for this a honor to day am i'd like to m proceed now to am the election of the vice chairs am first of all	0	21.25	54	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140701/025_20140701.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140701/025_20140701.wav.pcm.txt
10	8	20140714	ht dongevell for aceteric been a fiki mayer an yes thank you very much anbicky maya chair i a member of the a freedom party at the moment non attached in european parliament and i objected by e male to the fact that i am not entitled apparently to put a question this evening i'd like that objection to be properly registered because i think as non attached members we have every right to have our voice heard thank you	ht dongevell for aceteric been a fiki mayer an yes thank you very much anbicky maya chair i a member of the a freedom party at the moment non attached in european parliament and i objected by e male to the fact that i am not entitled apparently to put a question this evening i'd like that objection to be properly registered because i think as non attached members we have every right to have our voice heard thank you	0	29.55	80	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/008_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/008_20140714.wav.pcm.txt
11	9	20140714	okey thank you for putting your objection so politely and effectively and that's noted and we'll move on to the first statement from mister spobberdam thank you mister cherman i would also	okey thank you for putting your objection so politely and effectively and that's noted and we'll move on to the first statement from mister spobberdam thank you mister cherman i would also	0	16.75	32	/media/hugo/Seagate Expansion Drive/WORK/files_for_transcription/20140714/009_20140714.wav.pcm	/media/hugo/Seagate Expansion Drive/ALICE_BACKUP/voshpde/asr_huggingface/divided_scripts/python_scripts/the_transcripts/20140714/009_20140714.wav.pcm.txt
